,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs
22063,01 - C2088 - 2097-R_Ganesh-Navara,2,VAnchayati_yadi_kushalam,kalyANi,oothukAdu_venkata_kavi,R Ganesh,https://www.sangeethamshare.org/tvg/UPLOADS-2001---2200/2097-R_Ganesh-Navarathnamalai//
21879,01 - c1282 - 0819.SHUBHASHREE_RAM,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,Subhashree Ramachandran,https://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0819.SHUBHASHREE_RAMACHANDRAN//
20848,57 - C0019 - 019-Sanjay_Subrahman,5,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,Sanjay Subrahmanyan,https://www.sangeethamshare.org/sreekanth/019-Sanjay_Subrahmanyan-Live_Concert5//
20305,01 - C2530 - 2536-TH_Vasantha-Vio,4,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,TH Vasantha,https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2536-TH_Vasantha-Violin_Solo//
21537,57 - C0235 - 235-MK_Mohanachandra,9,rAgam_tAnam_pallavi,kalyANi,Own/Others,MK Mohanachandran,https://www.sangeethamshare.org/sreekanth/235-MK_Mohanachandran-Live_Concert1//
20727,19 - C0098 - 099_2010_01_27_Vinay,3,himAdri_sutE_pAhimAm,kalyANi,syAmA_sAstri,Vinay Sharva,https://www.sangeethamshare.org/sv/099_2010_01_27_Vinay_Sharva_BTMCA_ShyamashastriKrithis/
21889,01 - C5391 - 5298-ML_Vasanthakuma,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,ML Vasanthakumari,https://www.sangeethamshare.org/tvg/UPLOADS-5201---5400/5298-ML_Vasanthakumari/
20662,01 - C6079 - 5925-NP_Ramaswamy-TV,2,gaNapatE_mahamatE,kalyANi,m_dIkshitar,NP Ramaswamy,https://www.sangeethamshare.org/tvg/UPLOADS-5801---6000/5925-NP_Ramaswamy-TV_Audio-19-01-2019//
21855,06 - c0385 - 0447-Ms.GeethaRajase,2,unaiyallAl_vErE,kalyANi,pApanAsam_sivan,Geetha Rajasekhar,https://www.sangeethamshare.org/svasu/UPLOADS-0401-0600/0447-Ms.GeethaRajasekar-IsaiVizha2009-18/
21218,15 - C0123 - 119-M.L.Vasanthakuma,4,ninnu_vinA_gati_gAna,kalyANi,subbarAya_shAstri,ML Vasanthakumari,https://www.sangeethamshare.org/muralidaran/Uploads-101-200/119-M.L.Vasanthakumari-Live_Concet-14-1966//
20458,10 - C0380 - 377-Seerghazhi_Govin,13,entaTi_kulukE,kalyANi,dharmapuri_subbarAya_iyer,Seergazhi Govindarajan,https://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/377-Seerghazhi_Govindarajan-Vocal-240882//
20188,01 - C2928 - 2440-M_Balamuralikri,2,bhajarE_raghuvIram,kalyANi,tyAgarAja,M BalamuraliKrishna,https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2440-M_Balamuralikrishna-AIR_Trivandram//
20574,03 - C0187 - 060-Chembai_Vaidhyan,6,EtAvunarA_nilakaDa_nIku,kalyANi,tyAgarAja,Chembai Vaidhyanatha Bagavathar,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/060-Chembai_VaidhyanAtha_BhAgavathar-BengaLUru-60s//
21972,27 - C0001 - 01-ARI-LGJ-US-Moms,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,Ariyakudi Ramanuja Iyengar,https://www.sangeethamshare.org/kss/01-ARI-LGJ-US-Moms/
21918,03 - C0782 - 439-maDhurai_R_shrIr,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,Madurai Srirangam Iyengar,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/439-maDhurai_R_shrIrangam_iyengAr-vocal//
20829,22 - C0056 - 056_BMK-and-Party_Li,3,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,M BalamuraliKrishna,https://www.sangeethamshare.org/sreenivasa/Dr_M_Balamurali_Krishna/056_BMK-and-Party_Live-at-Chowdaiah-Memorial-Hall-1982/
21755,25 - C0020 - 04-Sathur_AGS_AIR,4,sundari_nI_divya_rUpamunu,kalyANi,tyAgarAja,Sathur AG Subramanyam,https://www.sangeethamshare.org/gvr/Concerts/04-Sathur_AGS_AIR/
22046,23 - C0067 - 072-K-V-Narayanaswam,1,vanajAkSirO_I_viraha-VARNAM,kalyANi,poochi_srinivasa_iyengar,Palghat KV Narayanaswamy,https://www.sangeethamshare.org/murthy/Karnatak/UPLOADS-001-200/072-K-V-Narayanaswamy-Srinivasa-Thava/
21044,10 - C0454 - 460-Suguna_Varadacha,4,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Suguna Varadachari,https://www.sangeethamshare.org/vijayagopal/UPLOADS-401-600/460-Suguna_Varadachary-Vocal//
21338,06 - C0779 - 0882_Sri.Guruvaayur.,3,pankaja_locana,kalyANi,swAtitirunAL,Guruvayoor S Sreekrishnan,https://www.sangeethamshare.org/svasu/UPLOADS-0801-1000/0882_Sri.Guruvaayur.G.Srikrishnan-Flute/
21819,03 - C0205 - 026-RAdha_Jayalakshm,6,taramA_nI_mahima_pogaDa,kalyANi,tyAgarAja,"Radha,Jayalakshmi",https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/026-RAdha_Jayalakshmi-Vocal-RAmaSevaMandali_BengaLUru-1980//
21293,01 - C3637 - 3600-SR_Vinay_Sharva,4,pankaja_locana,kalyANi,swAtitirunAL,Vinay Sharva,https://www.sangeethamshare.org/tvg/UPLOADS-3401---3600/3600-SR_Vinay_Sharva-TV_Audio//
21037,06 - C0919 - 1032_Ms.R.Ramani-Vee,4,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,R Ramani,https://www.sangeethamshare.org/svasu/UPLOADS-1001-1200/1032_Ms.R.Ramani-Veena/
20273,15 - C0006 - 006-D.K.Jayaraman-Li,4,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,DK Jayaraman,https://www.sangeethamshare.org/muralidaran/Uploads-001-100/006-D.K.Jayaraman-Live_Concert-2//
20329,03 - C0542 - 300-KV_nArAyaNa_swAm,5,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Palghat KV Narayanaswamy,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/300-KV_nArAyaNa_swAmy-Vocal-Dayton_OH-USA//
21250,52 - C0009 - 011-Navarathri_Kriti,2,pAhimAM_srivagIsvari,kalyANi,swAtitirunAL,---,https://www.sangeethamshare.org/balaji/UPLOADS-001-200/011-Navarathri_Kritis//
21050,15 - C0105 - 101-Tanjore.S.Kalyan,7,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Tanjore S Kalyanaraman,https://www.sangeethamshare.org/muralidaran/Uploads-101-200/101-Tanjore.S.Kalyanaraman-LiveConcert-1972//
21253,01 - C0242 - 1359-Sandeep_N_Bhara,4,pankaja_locana,kalyANi,swAtitirunAL,Sandeep N Bharadwaj,https://www.sangeethamshare.org/tvg/UPLOADS-1201---1400/1359-Sandeep_N_Bharadwaj_Violin_Solo-Isai_Vizha_2009/
21409,02 - C0164 - 172_TNS_and_U.Sriniv,6,rAgam_tAnam_pallavi,kalyANi,Own/Others,TN Seshagopalan,https://www.sangeethamshare.org/kasturi/UPLOADS-0001-0200/172_TNS_and_U.Srinivas_KGS_20Dec2010/
20370,46 - C0058 - 063-SSI,2,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/asokan/CARNATIC/063-SSI/
20977,01 - C5184 - 20-Maharajapuram_S_S,3,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Maharajapuram S Srinivasan,https://www.sangeethamshare.org/tvg/SEASON_2016/20-Maharajapuram_S_Srinivasan/
20432,09 - C0119 - NRK-036--AMS-VKR--To,1,endukO_nI_manasu_karagadu,kalyANi,tyAgarAja,Nedunuri Krishnamurthy,https://www.sangeethamshare.org/ksj/Nedunri-Krishnamurthy/NRK-036--AMS-VKR--Toronto-/
21495,15 - C0312 - 309-Madurai_Mani_Iye,5,rAgam_tAnam_pallavi,kalyANi,Own/Others,Madurai Mani Iyer,https://www.sangeethamshare.org/muralidaran/Uploads-301-400/309-Madurai_Mani_Iyer-Old_Gramaphone_Concert//
20765,01 - c2259 - 025-TN_Seshagopalan,1,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,TN Seshagopalan,https://www.sangeethamshare.org/tvg/SEASON_2011/025-TN_Seshagopalan//
20894,01 - C6716 - 6538-Trichur_V_Ramac,3,kumbhEshvarAya_namastE,kalyANi,m_dIkshitar,Trichur V Ramachandran,https://www./sangeethamshare.org/tvg/UPLOADS-6401---6600/6538-Trichur_V_Ramachandran-AIR_TVM//
21852,03 - C0789 - 13-P_unnikriShNan-vo,2,unaiyallAl_vErE,kalyANi,pApanAsam_sivan,P Unnikrishnan,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/Season-2012/13-P_unnikriShNan-vocal-JayaTV_MMU//
21645,10 - C0527 - 538-TS_Kalyanaraman-,5,shivakAmEshvarIm_cintayEham,kalyANi,m_dIkshitar,Tanjore S Kalyanaraman,https://www.sangeethamshare.org/vijayagopal/UPLOADS-401-600/538-TS_Kalyanaraman-Vocal//
21582,01 - c0236 - 1353-Sudha_Raghunath,1,sandEhamu_ElarA_nA_sAmi,kalyANi,tyAgarAja,Sudha Raghunathan,https://www.sangeethamshare.org/tvg/UPLOADS-1201---1400/1353-Sudha_Raghunathan-Isai_Vizha_2009/
21512,22 - C0151 - 084_BMK-and-Party_Li,6,rAgam_tAnam_pallavi,kalyANi,Own/Others,M BalamuraliKrishna,https://www.sangeethamshare.org/sreenivasa/Dr_M_Balamurali_Krishna/084_BMK-and-Party_Live-in-Madras_1964//
21449,03 - C0794 - 442-semmangudi_R_shr,10,rAgam_tAnam_pallavi,kalyANi,Own/Others,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/442-semmangudi_R_shrInivAsa_iyer-vocal//
21824,01 - c0947 - 459.LATHA_RAMCHAND,4,unaiyallAl_gati,kalyANi,pApanAsam_sivan,Latha Ramchand,https://www.sangeethamshare.org/tvg/UPLOADS-0401---0600/459.LATHA_RAMCHAND//
21211,06 - c0347 - 0408-Sri_Voleti_Venk,6,ninnu_vinA_gati_gAna,kalyANi,subbarAya_shAstri,Voleti Venkateswarulu,https://www.sangeethamshare.org/svasu/UPLOADS-0401-0600/0408-Sri_Voleti_Venkateshwaralu/
21265,01 - C1344 - 0887.TRICHUR_V.RAMAC,4,pankaja_locana,kalyANi,swAtitirunAL,Trichur V Ramachandran,https://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0887.TRICHUR_V.RAMACHANDRAN//
21588,02 - C0216 - 228_DKPattammal-DKJ-,5,sandEhamu_ElarA_nA_sAmi,kalyANi,tyAgarAja,DK Pattammal,https://www.sangeethamshare.org/kasturi/UPLOADS-0201-0400/228_DKPattammal-DKJ-Ananthakrishnan-ISivakumar-Boston1975/
20903,03 - C0746 - 405-aruNa-sAirAm-voc,4,maadhava_hridi,kalyANi,oothukAdu_venkata_kavi,Aruna Sairam,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/405-aruNa-sAirAm-vocal-Bay_area-CA-USA-2004//
20282,25 - C0017 - 01-MDR_AIR_1,4,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,MD Ramanathan,https://www.sangeethamshare.org/gvr/MDR_Concerts/01-MDR_AIR_1/
20631,38 - C0024 - 004-MLV-Live-04,21,EtAvunarA_nilakaDa_nIku,kalyANi,tyAgarAja,ML Vasanthakumari,https://www.sangeethamshare.org/rao_sharath/MLV/004-MLV-Live-04/
21040,10 - C0231 - 228-Priya_Sisters-Ch,8,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Priya Sisters,https://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/228-Priya_Sisters-Chembur//
21136,10 - C0329 - 326-Seetha_Narayanan,5,nija_dAsa_varada,kalyANi,patnam_subhramanya_iyer,Seetha Narayanan,https://www.sangeethamshare.org/vijayagopal/UPLOADS-201-400/326-Seetha_Narayanan-Vocal//
20778,01 - C3717 - 3644-Lalitha_Raghava,3,kamalAmbAm_bhajarE,kalyANi,m_dIkshitar,Lalitha Raghavan,https://www.sangeethamshare.org/tvg/UPLOADS-3601---3800/3644-Lalitha_Raghavan-Violin//
20071,01 - C0784 - 289.SUDHA_RAGHUNATHA,4,amma_rAvamma_tulasamma,kalyANi,tyAgarAja,Sudha Raghunathan,https://www.sangeethamshare.org/tvg/UPLOADS-0201---0400/289.SUDHA_RAGHUNATHAN-THIRUVAIYYARU//
21016,03 - C0518 - 31-subramaNiam-nAgas,1,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Subramaniam,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/281-164th_thyAgarAja_ArADhana-thiruvaiyyAru-2011/31-subramaNiam-nAgaswara_5//
20559,02 - C0080 - 089_SN_Raksha_Mathur,4,EtAvunarA_nilakaDa_nIku,kalyANi,tyAgarAja,SN Raksha,https://www.sangeethamshare.org/kasturi/UPLOADS-0001-0200/089_SN_Raksha_Mathur_S_Ashok/
21703,01 - C1589 - 35-Dr_Pantula_Rama,3,sundari_nI_divya_rUpamunu,kalyANi,tyAgarAja,Pantula Rama,https://www.sangeethamshare.org/tvg/SEASON_2010/35-Dr_Pantula_Rama//
20949,01 - c1349 - 0892.Kunnakudy_R_Vai,4,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Kunnakudi R Vaidyanathan,https://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0892.Kunnakudy_R_Vaidyanathan-NP//
20302,01 - C2002 - 1999-Amritha_Murali,1,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Amritha Murali,https://www.sangeethamshare.org/tvg/UPLOADS-1801---2000/1999-Amritha_Murali//
21646,15 - C0075 - 075-K.J.Yesudas-Live,5,shivakAmEshvarIm_cintayEham,kalyANi,m_dIkshitar,KJ Yesudas,https://www.sangeethamshare.org/muralidaran/Uploads-001-100/075-K.J.Yesudas-Live-Concert-1982//
21790,03 - C0961 - 607-DK_jayarAman-voc,4,talli_ninnu_nera_namminAnu,kalyANi,syAmA_sAstri,DK Jayaraman,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-601-900/607-DK_jayarAman-vocal_3//
21727,01 - C6404 - 6254-Salem_Gayathri_,2,sundari_nI_divya_rUpamunu,kalyANi,tyAgarAja,Salem Gayathri Venkatesan,https://www.sangeethamshare.org/tvg/UPLOADS-6201---6400/6254-Salem_Gayathri_Venkatesan//
20293,01 - C0534 - 1320-P_Vasanthkumar-,4,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,P Vasanthakumar,https://www.sangeethamshare.org/tvg/UPLOADS-1201---1400/1320-P_Vasanthkumar-Veena//
20244,01 - C5741 - 5617-Sandeep_Narayan,4,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,Sandeep Narayanan,https://www.sangeethamshare.org/tvg/UPLOADS-5601---5800/5617-Sandeep_Narayan//
20198,01 - c0647 - 143.RADHA_VISWANATHA,4,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,Radha Viswanathan,https://www.sangeethamshare.org/tvg/UPLOADS-0001---0200/143.RADHA_VISWANATHAN//
21435,03 - C0198 - 033-SashAnk_Flute-Au,5,rAgam_tAnam_pallavi,kalyANi,Own/Others,S Shashank,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/033-SashAnk_Flute-Augusta_GA-April2004//
21836,01 - C3070 - 3055-Yogam_Santhanam,4,unaiyallAl_vErE,kalyANi,pApanAsam_sivan,Yogam Santhanam,https://www.sangeethamshare.org/tvg/UPLOADS-3001---3200/3055-Yogam_Santhanam//
21036,06 - C0842 - 0948_Sri.Thiruvallur,4,nidhi_cAla_sukhamA,kalyANi,tyAgarAja,Thiruvallur V Parthasarathy,https://www.sangeethamshare.org/svasu/UPLOADS-0801-1000/0948_Sri.Thiruvallur.V.Parthasarathy-Violin/
20317,01 - C5894 - 5773-Bharathi_Ramasu,2,birAna_varAlicci_brOvumu,kalyANi,syAmA_sAstri,Bharathi Ramasubban,https://www.sangeethamshare.org/tvg/UPLOADS-5601---5800/5773-Bharathi_Ramasubban//
21517,23 - C0094 - 101-K-V-Narayanawamy,9,rAgam_tAnam_pallavi,kalyANi,Own/Others,Palghat KV Narayanaswamy,https://www.sangeethamshare.org/murthy/Karnatak/UPLOADS-001-200/101-K-V-Narayanawamy-Paramaacharyam-MA1993/
20214,01 - C2159 - 1916-Priya_Sisters-T,6,bhajarE_rE_citta_bAlAmbikAm,kalyANi,m_dIkshitar,Priya Sisters,https://www.sangeethamshare.org/tvg/UPLOADS-1801---2000/1916-Priya_Sisters-TV_Audio-Isaicharal//
20729,38 - C0063 - 007-TNS-IIT,4,himAdri_sutE_pAhimAm,kalyANi,syAmA_sAstri,TN Seshagopalan,https://www.sangeethamshare.org/rao_sharath/TNS/007-TNS-IIT/
21147,17 - C0080 - 081-TMT-National_Pro,5,nija_dAsa_varada,kalyANi,patnam_subhramanya_iyer,TM Thyagarajan,https://www.sangeethamshare.org/ramasamy_v/081-TMT-National_Programme//
21374,57 - C0499 - 499-Nanditha_Ravi-Li,4,pankaja_locana,kalyANi,swAtitirunAL,Nanditha Ravi,https://www./sangeethamshare.org/sreekanth/499-Nanditha_Ravi-Live_Concert2//
20129,10 - C0187 - 183-KPArunachalam-Ma,6,amma_rAvamma_tulasamma,kalyANi,tyAgarAja,Karukuruchi Arunachalam,https://www.sangeethamshare.org/vijayagopal/UPLOADS-001-200/183-KPArunachalam-Marathon_Concert//
21680,01 - c1353 - 0896.PREMA_RANGARAJA,1,shrI_madhurAmbikE_shivE,kalyANi,m_dIkshitar,Prema Rangarajan,https://www.sangeethamshare.org/tvg/UPLOADS-0801---1000/0896.PREMA_RANGARAJAN//
20414,01 - C4009 - 3949-Salem_Gayathri_,4,endukO_nI_manasu_karagadu,kalyANi,tyAgarAja,Salem Gayathri Venkatesan,https://www.sangeethamshare.org/tvg/UPLOADS-3801---4000/3949-Salem_Gayathri_Venkatesan//
21982,54 - C0034 - 36-MS_Gopalakrishnan,1,vanajAkSi_nine_kOri-VARNAM,kalyANi,pallavi_gOpAla_iyer,MS Gopalakrishnan,https://www.sangeethamshare.org/nageswaran/Audio/UPLOADS_0001-0100/36-MS_Gopalakrishnan//
