,Unnamed: 0,Unnamed: 0.1,Concert ID,Track,Kriti,Ragam,Composer,Main Artist,Album hrefs,Download URLs
1828,3369,36439,01 - C4133 - 4079-T_Sashidar-Flut,2,entani_nE_varNintunu,mukhAri,tyAgarAja,T Sashidar,https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4079-T_Sashidar-Flute//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-4001---4200/4079-T_Sashidar-Flute/02-entani_nE_varNintunu-mukhAri.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-4001---4200/4079-T_Sashidar-Flute/
2425,4444,42092,36 - C0001 - DKJ-MYSORE,13,ranjani_mrdu_pankaja,rAgamAlikA,tanjAvUr_sankara_iyer,DK Jayaraman,https://www.sangeethamshare.org/ramakrishnan_c/DKJ-MYSORE//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ramakrishnan_c/DKJ-MYSORE/13-ranjani_mrdu_pankaja-rAgamAlikA.MP3&amp;url=https://www.sangeethamshare.org/ramakrishnan_c/DKJ-MYSORE/
3524,6502,9553,09 - C0138 - SSI--048-1974,5,ADamODi_galadE_rAmayya,cArukEsi,tyAgarAja,Semmangudi Srinivasa Iyer,https://www.sangeethamshare.org/ksj/Semmangudi-Srinivasa-Iyer/SSI--048-1974//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/ksj/Semmangudi-Srinivasa-Iyer/SSI--048-1974/05---Adamodi-Galade---Charukesi.mp3&amp;url=https://www.sangeethamshare.org/ksj/Semmangudi-Srinivasa-Iyer/SSI--048-1974/
5381,9804,14793,03 - C0393 - 252-TN_shEshagOpAlan,8,mAnamu_lEdA,hamIrkalyANi,tyAgarAja,TN Seshagopalan,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/252-TN_shEshagOpAlan-Vocal-Cincinati_OH-USA-1992//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-001-300/252-TN_shEshagOpAlan-Vocal-Cincinati_OH-USA-1992/08-mAnamu_lEdha-hamIrkalyANi-Adhi-Adhi-thyAgarAja.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/252-TN_shEshagOpAlan-Vocal-Cincinati_OH-USA-1992/
4911,9048,9942,03 - C0801 - 449-TN_kriShNan-Dr_N,7,sakhi_prANa_sakhuDiTu,cenjuruTi,dharmapuri_subbarAya_iyer,TN Krishnan,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/449-TN_kriShNan-Dr_N_rAjam-violin_duet//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-301-600/449-TN_kriShNan-Dr_N_rAjam-violin_duet/07-sakhi_prANa_sakhuDiTu-cenjuruTi.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-301-600/449-TN_kriShNan-Dr_N_rAjam-violin_duet/
4705,8706,19973,03 - C0174 - 059-U_Srinivas-Mando,4,nAda_lOluDai,kalyANavasantam,tyAgarAja,U Shrinivas,https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/059-U_Srinivas-Mandolin-Ramasevamandali-Bengaluru-1988//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/manjunath/Carnatic/Audio/UPLOADS-001-300/059-U_Srinivas-Mandolin-Ramasevamandali-Bengaluru-1988/04-AlApane-KalyANavasantha.mp3&amp;url=https://www.sangeethamshare.org/manjunath/Carnatic/Audio/UPLOADS-001-300/059-U_Srinivas-Mandolin-Ramasevamandali-Bengaluru-1988/
3990,7268,18411,01 - c0920 - 432.MAHARAJAPURAM_V.,5,raghuvIra_raNadhIra,husEni,tyAgarAja,Maharajapuram Santhanam,https://www.sangeethamshare.org/tvg/UPLOADS-0401---0600/432.MAHARAJAPURAM_V.SANTHANAM//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-0401---0600/432.MAHARAJAPURAM_V.SANTHANAM/05-raghuvIra_raNadhIra-husEni.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-0401---0600/432.MAHARAJAPURAM_V.SANTHANAM/
2350,4308,44696,01 - C0381 - 1115-Sriram_Parthasa,1,vandanamu_raghu_nandanA,sahAna,tyAgarAja,Sriram Parthasarathy,https://www.sangeethamshare.org/tvg/UPLOADS-1001---1200/1115-Sriram_Parthasarathy//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1001---1200/1115-Sriram_Parthasarathy/01-vandanamu_raghu_nandanA-shahAna-tyAgarAja.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1001---1200/1115-Sriram_Parthasarathy/
1161,2128,52216,01 - c0416 - 1152-Sangeetha_Sivak,2,sari_evvarE_shrI_jAnakI,shrIranjani,tyAgarAja,Sangeetha Sivakumar,https://www.sangeethamshare.org/tvg/UPLOADS-1001---1200/1152-Sangeetha_Sivakumar/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-1001---1200/1152-Sangeetha_Sivakumar/02-sari_evvarE_shrI_jAnakI-shrIranjani.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-1001---1200/1152-Sangeetha_Sivakumar/
5591,10189,2484,01 - C5495 - 5406-Bhushany_Kalaya,2,kAraNamEmi_kAnanE,AndOLikA,GN_bAlasubramanian,Bhushany Kalyanaraman,https://www.sangeethamshare.org/tvg/UPLOADS-5401---5600/5406-Bhushany_Kalayanaraman-AIRNP/,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-5401---5600/5406-Bhushany_Kalayanaraman-AIRNP/02-kAraNamEmi_kAnanE-AndOLikA-GN_bAlasubramanian.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-5401---5600/5406-Bhushany_Kalayanaraman-AIRNP/
1035,1883,26201,01 - C3556 - 3519-Seetha_Narayana,4,inta_saukhyamani_nE_ceppajala,kApi,tyAgarAja,Seetha Narayanan,https://www.sangeethamshare.org/tvg/UPLOADS-3401---3600/3519-Seetha_Narayanan//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-3401---3600/3519-Seetha_Narayanan/04-inta_saukhyamani_nE_ceppajala-kApi.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-3401---3600/3519-Seetha_Narayanan/
4741,8686,19934,01 - C2500 - 2505-Mambalam_MKS_Si,2,nAda_lOluDai,kalyANavasantam,tyAgarAja,Mambalam MKS Siva,https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2505-Mambalam_MKS_Siva-Nadaswaram//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/tvg/UPLOADS-2401---2600/2505-Mambalam_MKS_Siva-Nadaswaram/02-nAda_lOluDai-kalyANavasantam.mp3&amp;url=https://www.sangeethamshare.org/tvg/UPLOADS-2401---2600/2505-Mambalam_MKS_Siva-Nadaswaram/
1859,3476,5948,10 - C0592 - 603-Sanjay_Subrahman,4,samayamidE_rArA,behAg,patnam_subhramanya_iyer,Sanjay Subrahmanyan,https://www.sangeethamshare.org/vijayagopal/UPLOADS-601-800/603-Sanjay_Subrahmanyan-Vocal//,https://www.sangeethamshare.org/fstream.php?file=/home/data/www.sangeethamshare.org/public_html/vijayagopal/UPLOADS-601-800/603-Sanjay_Subrahmanyan-Vocal/04-kaddanu_vAriki_kaddukaddani-tODi.mp3&amp;url=https://www.sangeethamshare.org/vijayagopal/UPLOADS-601-800/603-Sanjay_Subrahmanyan-Vocal/
